"PPC","Pristiophorus cirratus"
"PPJ","Pristiophorus japonicus"
"PPU","Pristiophorus nudipinnis"
"PPH","Pristiophorus schroederi"
"PPW","Pliotrema warreni"
"PWS","Pristiophorus spp"
"AGN","Squatina squatina"
"SUA","Squatina aculeata"
"SUF","Squatina africana"
"SUG","Squatina argentina"
"SUU","Squatina australis"
"SUC","Squatina californica"
"SUD","Squatina dumeril"
"SUO","Squatina formosa"
"SUJ","Squatina japonica"
"SUL","Squatina nebulosa"
"SUT","Squatina oculata"
"SUE","Squatina tergocellata"
"SUN","Squatina tergocellatoides"
"SWV","Squatina guggenheim"
"SZJ","Squatina occulta"
"ASK","Squatinidae"
"OXY","Oxynotus centrina"
"OXN","Oxynotus paradoxus"
"OXB","Oxynotus bruniensis"
"OXC","Oxynotus caribbaeus"
"OXZ","Oxynotus japonicus"
"SHB","Echinorhinus brucus"
"ECK","Echinorhinus cookei"
"SHX","Squaliformes"
"RRA","Aptychotrema bougainvillii"
"RAR","Aptychotrema rostrata"
"RAV","Aptychotrema vincentiana"
"RPS","Platyrhina sinensis"
"RPT","Platyrhinoidis triseriata"
"RCA","Rhynchobatus australiae"
"RCD","Rhynchobatus djiddensis"
"RCL","Rhynchobatus luebberti"
"RHD","Rhinobatos annandalei"
"RBA","Rhinobatos annulatus"
"RBB","Rhinobatos batillum"
"RHH","Rhinobatos blochii"
"RBE","Rhinobatos brevirostris"
"RBC","Rhinobatos cemiculus"
"RHF","Rhinobatos formosensis"
"GUD","Rhinobatos percellens"
"GUF","Rhinobatos planiceps"
"RBH","Rhinobatos halavi"
"RBO","Rhinobatos holcorhynchus"
"RBN","Rhinobatos hynnicephalus"
"RBI","Rhinobatos irvinei"
"GUB","Rhinobatos albomaculatus"
"RBU","Rhinobatos leucorhynchus"
"RBS","Rhinobatos leucospilus"
"RBD","Rhinobatos lionotus"
"RBM","Rhinobatos obtusus"
"RBL","Rhinobatos glaucostigma"
"RHO","Rhinobatos ocellatus"
"RBP","Rhinobatos productus"
"RBF","Rhinobatos punctifer"
"RBX","Rhinobatos rhinobatos"
"RBW","Rhinobatos salalah"
"RBZ","Rhinobatos schlegelii"
"RBV","Rhinobatos thouin"
"RBQ","Rhinobatos typus"
"RBK","Rhinobatos horkelii"
"RBR","Rhinobatos granulatus"
"RBT","Rhinobatos lentiginosus"
"GUZ","Rhinobatos spp"
"RZS","Zanobatus schoenleinii"
"RZE","Zapteryx exasperata"
"RRY","Rhina ancylostoma"
"RTF","Trygonorrhina fasciata"
"RTG","Trygonorrhina guaneria"
"RTM","Trygonorrhina melaleuca"
"GTF","Rhinobatidae"
"RPA","Anoxypristis cuspidata"
"RPC","Pristis clavata"
"RPM","Pristis microdon"
"RPP","Pristis pectinata"
"RPR","Pristis pristis"
"RPZ","Pristis zijsron"
"SAW","Pristidae"
"RJB","Raja batis"
"RJC","Raja clavata"
"RJR","Raja radiata"
"RJM","Raja montagui"
"RJH","Raja brachyura"
"RJI","Raja circularis"
"RJF","Raja fullonica"
"JAK","Raja wallacei"
"RJE","Raja microocellata"
"RJN","Raja naevus"
"RJO","Raja oxyrinchus"
"RJU","Raja undulata"
"RFS","Raja springeri"
"RFT","Raja stellulata"
